"yearDraft","numberPickOverall","numberRound","numberRoundPick","namePlayer","nameOrganizationFrom","typeOrganizationFrom","idPlayer","idTeam","nameTeam","PLAYER_PROFILE_FLAG","slugOrganizationTypeFrom","locationOrganizationFrom","slugTeam","urlPlayerHeadshot"
2015,4,1,4,"Kristaps Porzingis","CB Sevilla","Other Team/Club",204001,1610612752,"New York Knicks",1,"PRO","Spain","NYK","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png"
2015,5,1,5,"Mario Hezonja","FC Barcelona Basquet","Other Team/Club",1626209,1610612753,"Orlando Magic",1,"PRO","Spain","ORL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626209.png"
2015,6,1,6,"Willie Cauley-Stein","Kentucky","College/University",1626161,1610612758,"Sacramento Kings",1,"COL",NA,"SAC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626161.png"
2015,7,1,7,"Emmanuel Mudiay","Guangdong Southern Tigers","Other Team/Club",1626144,1610612743,"Denver Nuggets",1,"PRO","China","DEN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626144.png"
2015,8,1,8,"Stanley Johnson","Arizona","College/University",1626169,1610612765,"Detroit Pistons",1,"COL",NA,"DET","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626169.png"
2015,9,1,9,"Frank Kaminsky","Wisconsin","College/University",1626163,1610612766,"Charlotte Hornets",1,"COL",NA,"CHA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626163.png"
2015,10,1,10,"Justise Winslow","Duke","College/University",1626159,1610612748,"Miami Heat",1,"COL",NA,"MIA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626159.png"
2015,11,1,11,"Myles Turner","Texas","College/University",1626167,1610612754,"Indiana Pacers",1,"COL",NA,"IND","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626167.png"
2015,12,1,12,"Trey Lyles","Kentucky","College/University",1626168,1610612762,"Utah Jazz",1,"COL",NA,"UTA","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626168.png"
2015,13,1,13,"Devin Booker","Kentucky","College/University",1626164,1610612756,"Phoenix Suns",1,"COL",NA,"PHX","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png"
2015,14,1,14,"Cameron Payne","Murray State","College/University",1626166,1610612760,"Oklahoma City Thunder",1,"COL",NA,"OKC","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626166.png"
2015,15,1,15,"Kelly Oubre Jr.","Kansas","College/University",1626162,1610612737,"Atlanta Hawks",1,"COL",NA,"ATL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626162.png"
2015,16,1,16,"Terry Rozier","Louisville","College/University",1626179,1610612738,"Boston Celtics",1,"COL",NA,"BOS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626179.png"
2015,17,1,17,"Rashad Vaughn","Nevada-Las Vegas","College/University",1626173,1610612749,"Milwaukee Bucks",1,"COL",NA,"MIL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626173.png"
2015,18,1,18,"Sam Dekker","Wisconsin","College/University",1626155,1610612745,"Houston Rockets",1,"COL",NA,"HOU","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626155.png"
2015,19,1,19,"Jerian Grant","Notre Dame","College/University",1626170,1610612764,"Washington Wizards",1,"COL",NA,"WAS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626170.png"
2015,20,1,20,"Delon Wright","Utah","College/University",1626153,1610612761,"Toronto Raptors",1,"COL",NA,"TOR","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626153.png"
2015,21,1,21,"Justin Anderson","Virginia","College/University",1626147,1610612742,"Dallas Mavericks",1,"COL",NA,"DAL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626147.png"
2015,22,1,22,"Bobby Portis","Arkansas","College/University",1626171,1610612741,"Chicago Bulls",1,"COL",NA,"CHI","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626171.png"
2015,23,1,23,"Rondae Hollis-Jefferson","Arizona","College/University",1626178,1610612757,"Portland Trail Blazers",1,"COL",NA,"POR","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626178.png"
2015,24,1,24,"Tyus Jones","Duke","College/University",1626145,1610612739,"Cleveland Cavaliers",1,"COL",NA,"CLE","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626145.png"
2015,25,1,25,"Jarell Martin","Louisiana State","College/University",1626185,1610612763,"Memphis Grizzlies",1,"COL",NA,"MEM","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626185.png"
2015,26,1,26,"Nikola Milutinov","KK Partizan","Other Team/Club",1626221,1610612759,"San Antonio Spurs",0,"PRO","Serbia","SAS","RESOURCE/default_player.png"
2015,27,1,27,"Larry Nance Jr.","Wyoming","College/University",1626204,1610612747,"Los Angeles Lakers",1,"COL",NA,"LAL","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626204.png"
2015,28,1,28,"RJ Hunter","Georgia State","College/University",1626154,1610612738,"Boston Celtics",1,"COL",NA,"BOS","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626154.png"
2015,29,1,29,"Chris McCullough","Syracuse","College/University",1626191,1610612751,"Brooklyn Nets",1,"COL",NA,"BKN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626191.png"
2015,30,1,30,"Kevon Looney","California-Los Angeles","College/University",1626172,1610612744,"Golden State Warriors",1,"COL",NA,"GSW","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626172.png"
2015,31,2,1,"Cedi Osman","Anadolu Efes S.K.","Other Team/Club",1626224,1610612750,"Minnesota Timberwolves",1,"PRO","Turkey","MIN","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626224.png"
2015,32,2,2,"Montrezl Harrell","Louisville","College/University",1626149,1610612745,"Houston Rockets",1,"COL",NA,"HOU","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626149.png"
